name,profile_url,place_of_birth,longitude,latitude,popularity
Jon Seda,https://www.themoviedb.org/person/288,Manhattan New York City New York USA,-73.9598939,40.7896239,157.09856849201873
Madeleine Stowe,https://www.themoviedb.org/person/289,Los Angeles California USA,-118.242766,34.0536909,1501.8773695044165
Frank Gorshin,https://www.themoviedb.org/person/291,Pittsburgh Pennsylvania USA,-80.6243098,40.3693889,455.2510657167112
Eminem,https://www.themoviedb.org/person/325,St. Joseph Missouri USA,-94.8466322,39.7686055,64.26343710551582
Kim Basinger,https://www.themoviedb.org/person/326,Athens Georgia USA,-83.376398,33.9597677,1318.0952384992959
Mekhi Phifer,https://www.themoviedb.org/person/327,Harlem New York City New York USA,-73.9454154,40.8078786,295.5750876012277
Brittany Murphy,https://www.themoviedb.org/person/328,Atlanta Georgia USA,-84.3902644,33.7489924,193.0742864492265
Evan Jones,https://www.themoviedb.org/person/333,Texas U.S.,34.6464418,31.7871793,261.80720930098903
Omar Benson Miller,https://www.themoviedb.org/person/334,Los Angeles California USA,-118.242766,34.0536909,93.52311572790217
Michael Shannon,https://www.themoviedb.org/person/335,Lexington Kentucky USA,-84.4970393,38.0464066,5011.813911175439
Xzibit,https://www.themoviedb.org/person/336,Detroit Michigan U.S.,-82.99736765487013,42.34688505,67.02795153579649
Proof,https://www.themoviedb.org/person/337,Detroit Michigan USA,-83.0466403,42.3315509,0.0
Obie Trice,https://www.themoviedb.org/person/338,Detroit Michigan USA,-83.0466403,42.3315509,0.0
Eugene Byrd,https://www.themoviedb.org/person/342,Philadelphia - Pennsylvania - USA,-75.1635262,39.9527237,141.6519857850351
Taryn Manning,https://www.themoviedb.org/person/343,Tucson Arizona USA,-110.9748477,32.2228765,60.06781794192728
Mike Bell,https://www.themoviedb.org/person/346,Redlands California USA,-117.1827445,34.0550328,44.186215948460855
Scott Glenn,https://www.themoviedb.org/person/349,Pittsburgh Pennsylvania USA,-80.6243098,40.3693889,514.3742514685936
Laura Linney,https://www.themoviedb.org/person/350,New York City New York USA,-74.0060152,40.7127281,425.03887086674143
Dennis Haysbert,https://www.themoviedb.org/person/352,San Mateo California USA,-122.3330573,37.496904,336.2828657850377
Reese Witherspoon,https://www.themoviedb.org/person/368,New Orleans Louisiana USA,-90.0782127,29.9759983,2245.7920990920684
Katherine Helmond,https://www.themoviedb.org/person/381,Galveston Texas USA,-94.7945882,29.299328,350.7073121447089
Kim Greist,https://www.themoviedb.org/person/387,Stamford Connecticut U.S.,-73.55018354754387,41.0434884,393.72273255952706
Alison Eastwood,https://www.themoviedb.org/person/389,Santa Monica California USA,-118.4912273,34.0194704,28.698194407842998
Geraldine Chaplin,https://www.themoviedb.org/person/400,Santa Monica California USA,-118.4912273,34.0194704,166.88539301051384
Melora Hardin,https://www.themoviedb.org/person/404,Houston Texas USA,-95.3676974,29.7589382,138.1976167284602
James Keach,https://www.themoviedb.org/person/408,Savannah Georgia USA,-81.0911768,32.0809263,23.51544144562263
John Carter Cash,https://www.themoviedb.org/person/410,Nashville Tennessee U.S.,-86.5294002,35.9679203,14.375928367951808
Ginnifer Goodwin,https://www.themoviedb.org/person/417,Memphis Tennessee USA,-90.0516285,35.1490215,5972.950761465139
Robert Patrick,https://www.themoviedb.org/person/418,Marietta Georgia USA,-84.51975650806273,33.9380754,317.6717322879521
Tyler Hilton,https://www.themoviedb.org/person/419,Palm Springs California USA,-116.49529769683983,33.772179449999996,17.288637375620073
Johnathan Rice,https://www.themoviedb.org/person/420,Alexandria Virginia USA,-77.0470229,38.8051095,13.839876913671157
Shooter Jennings,https://www.themoviedb.org/person/421,Nashville Tennessee U.S.,-86.5294002,35.9679203,13.87008158962938
Waylon Payne,https://www.themoviedb.org/person/422,Nashville Tennessee U.S.,-86.5294002,35.9679203,14.28272151170451
Dallas Roberts,https://www.themoviedb.org/person/424,Houston - Texas - USA,-95.3676974,29.7589382,249.89324493387593
Larry Bagby,https://www.themoviedb.org/person/426,Marysville California USA,-121.5913516,39.1457247,28.870006839321128
Sandra Ellis Lafferty,https://www.themoviedb.org/person/427,Colorado USA,-105.607716,38.7251776,320.5675315077613
Lucas Till,https://www.themoviedb.org/person/429,Fort Hood Texas USA,-97.70842502110759,31.2012636,497.36914253580875
Hailey Anne Nelson,https://www.themoviedb.org/person/430,West Hills Los Angeles California USA,-118.645476,34.2032325,525.7689685633657
Hilary Swank,https://www.themoviedb.org/person/448,Lincoln Nebraska USA,-96.7077751,40.8088861,537.498922453464
Mike Colter,https://www.themoviedb.org/person/450,Columbia South Carolina USA,-81.0343313,34.0007493,158.66249363488967
Margo Martindale,https://www.themoviedb.org/person/452,Jacksonville Texas USA,-95.2705042,31.963778,624.074575408135
Riki Lindhome,https://www.themoviedb.org/person/453,Coudersport Pennsylvania USA,-78.0192691,41.7728108,193.04366580020505
Michael Peña,https://www.themoviedb.org/person/454,Chicago Illinois USA ,-87.6244212,41.8755616,937.7977117617379
Tom Cruise,https://www.themoviedb.org/person/500,Syracuse New York USA,-76.1474244,43.0481221,13670.520521546765
